Date;Nota BM&F
06/07/2020;-717.22
07/07/2020;-2401.117437
08/07/2020;4224.094693
09/07/2020;1464.71
10/07/2020;-18003.17
13/07/2020;-39465.73
14/07/2020;-494.53
15/07/2020;-2105.4
16/07/2020;5004.24
17/07/2020;21936.27
20/07/2020;2769.45
21/07/2020;-17438.77
22/07/2020;-29165.19
23/07/2020;64846.95
24/07/2020;11842.29
27/07/2020;-27176.34
28/07/2020;30259.57
29/07/2020;-61087.7
30/07/2020;-48199.79
31/07/2020;3624.65
03/08/2020;46735.89
04/08/2020;39687.74
05/08/2020;42657.32
06/08/2020;26323.21
07/08/2020;-3239.41
10/08/2020;20069.68
11/08/2020;-16164.43
12/08/2020;-21455.34
13/08/2020;3247.38
14/08/2020;27175.85
17/08/2020;4221.81
18/08/2020;-1207.49
19/08/2020;-8801.75
20/08/2020;-5775.14
21/08/2020;2533.3
24/08/2020;-106305.73
25/08/2020;22399.16
26/08/2020;-7709.95
27/08/2020;-18743.02
28/08/2020;-4191.18
31/08/2020;10405.08
01/09/2020;-59792.21
02/09/2020;6807.61
03/09/2020;53805.88
04/09/2020;357617.75
08/09/2020;148559.52
09/09/2020;239581.48
10/09/2020;-50449.68
11/09/2020;-19035.15
14/09/2020;40411.61
15/09/2020;-68865.29
16/09/2020;-5488.36
17/09/2020;-23961.05
18/09/2020;49554.78
21/09/2020;-30029.53
22/09/2020;-91957.66
23/09/2020;149840.62
24/09/2020;11617.99
25/09/2020;-30.43
28/09/2020;-88645.82
29/09/2020;23489.72
30/09/2020;-7031.61
01/10/2020;-2072.65
02/10/2020;-24204.81
05/10/2020;893.81
06/10/2020;3965.77
07/10/2020;23333.4
08/10/2020;-45846.78
09/10/2020;-61727.2
13/10/2020;-36442.22
14/10/2020;42839.08
15/10/2020;-1620.58
16/10/2020;-9465.65
19/10/2020;223806.69
20/10/2020;-79189.05
21/10/2020;-9021.29
22/10/2020;-31879.84
23/10/2020;-2162.18
26/10/2020;190467.22
27/10/2020;44787.8
28/10/2020;-26132.32
29/10/2020;68592.32
30/10/2020;147405.95
02/11/2020;0
03/11/2020;-185648.36
04/11/2020;-221082.03
05/11/2020;-65213.11
06/11/2020;15688.9
09/11/2020;-329284.88
10/11/2020;46867.56
11/11/2020;-64423.71
12/11/2020;87064.43
13/11/2020;74062.05
16/11/2020;377.81
17/11/2020;8312.45
18/11/2020;-17433.95
19/11/2020;-9331.67
20/11/2020;-58595.36
23/11/2020;92142.49
24/11/2020;22471.77
25/11/2020;-8467.62
26/11/2020;2155.6
27/11/2020;-33720.11
30/11/2020;-16797.15
01/12/2020;191769.42
02/12/2020;-1555.15
03/12/2020;9217.48
04/12/2020;-114932.89
07/12/2020;166.95
08/12/2020;-3085.53
09/12/2020;46046.36
10/12/2020;-23407.33
11/12/2020;31987.16
14/12/2020;-19167.86
15/12/2020;11825.4
16/12/2020;-33118.27
17/12/2020;-54257.65
18/12/2020;60955.52
19/12/2020;171574.39
20/12/2020;152695.14
21/12/2020;110935.93
22/12/2020;1578.3
23/12/2020;34444
28/12/2020;96233.87
29/12/2020;-6262.41
30/12/2020;-15347.37
04/01/2021;-107798.41
05/01/2021;54029.69
06/01/2021;45641.48
07/01/2021;-15648.46
08/01/2021;42317.52
11/01/2021;-56691.36
12/01/2021;2114.03
13/01/2021;2677.02
14/01/2021;-12401.28
15/01/2021;64582.73
18/01/2021;18764.06
19/01/2021;171574.39
20/01/2021;152695.14
21/01/2021;-3239.60
22/01/2021;69808.76
26/01/2021;-42293.29
27/01/2021;452653.44
28/01/2021;-139322.25
29/01/2021;184575.15
01/02/2021;-125535.54
02/02/2021;-37908.30
03/02/2021;-32665.31
04/02/2021;5042.27
05/02/2021;-166269.03
08/02/2021;43740.44
09/02/2021;-17200.99
