Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net Prof Loss
23/09/2020,ISPH21,0.0,0.0,9.0,3248.75,3248.75,5.5675,5.4676,-9.0,0.0,0.0,3.6,2.37,96.52380952380952,116.62390800000001,-120.22390800000001
24/09/2020,ISPH21,29.0,3240.0,15.0,3242.0,3242.0,5.5062,5.4676,5.0,16725.0825,15967.98,17.6,2.37,96.52380952380952,375.78814800000004,32299.674352
25/09/2020,ISPH21,5.0,3279.75,0.0,0.0,3278.75,5.5526,5.4676,10.0,51014.5125,-1388.15,2.0,2.37,96.52380952380952,64.79106,49559.57143999999
28/09/2020,ISPH21,0.0,0.0,0.0,0.0,3337.5,5.6211,5.4676,10.0,165119.8125,0.0,0.0,2.37,94.85714285714286,0.0,165119.8125
29/09/2020,ISPH21,0.0,0.0,1.0,3345.75,3325.25,5.6409,5.4676,9.0,-34550.512500000004,5781.922500000001,0.4,2.37,94.85714285714286,12.958212000000001,-28781.948212000007
30/09/2020,ISPH21,0.0,0.0,0.0,0.0,3336.0,5.6298,5.4676,9.0,27234.1575,0.0,0.0,2.37,94.85714285714286,0.0,27234.1575
01/10/2020,ISPH21,0.0,0.0,0.0,0.0,3359.0,5.6472,5.6298,9.0,58448.52,0.0,0.0,2.37,94.85714285714286,0.0,58448.52
02/10/2020,ISPH21,0.0,0.0,0.0,0.0,3330.5,5.6565,5.6298,9.0,-72544.6125,0.0,0.0,2.37,94.85714285714286,0.0,-72544.6125
05/10/2020,ISPH21,0.0,0.0,0.0,0.0,3384.25,5.5812,5.6298,9.0,134995.275,0.0,0.0,2.37,91.61904761904762,0.0,134995.275
06/10/2020,ISPH21,0.0,0.0,0.0,0.0,3328.25,5.5693,5.6298,9.0,-140346.36000000002,0.0,0.0,2.37,91.61904761904762,0.0,-140346.36000000002
07/10/2020,ISPH22,0.0,0.0,0.0,0.0,3403.25,5.6135,5.6298,9.0,189455.625,0.0,0.0,2.37,91.61904761904762,0.0,189455.625
08/10/2020,ISPH21,0.0,0.0,9.0,3432.25,3442.0,5.5921,5.6298,0.0,97512.24375000001,-24535.338750000003,9.0,2.37,91.61904761904762,120.08363400000002,72847.821366
26/11/2020,ISPH21,0.0,0.0,9.0,3615.0,3615.0,5.3169,5.7442,-9.0,0.0,0.0,9.0,2.61,31.761904761904763,134.93125799999999,-143.93125799999999
27/11/2020,ISPH21,14.0,3640.7,0.0,0.0,3638.0,5.3397,5.7442,5.0,-55265.895,-10092.03299999932,14.0,2.61,31.761904761904763,209.893068,-65581.82106799932
