Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net Prof Loss
28/12/2020,ISPM21,0.0,0.0,2.0,3732.0,3732.0,5.2745,5.3539,-2.0,0.0,0.0,2.0,2.61,42.142857142857146,27.947358,-29.947358
29/12/2020,ISPM21,10.0,3733.55,0.0,0.0,3717.5,5.19,5.3539,8.0,7525.500000000001,-41649.75000000047,10.0,2.61,42.142857142857146,139.73678999999998,-34273.986790000476
30/12/2020,ISPM21,3.0,3725.25,0.0,0.0,3719.0,5.1805,5.3539,11.0,3108.3,-4856.71875,3.0,2.61,42.142857142857146,41.921037000000005,-1793.339787
04/01/2021,ISPM21,0.0,0.0,0.0,0.0,3681.75,5.2407,5.1805,11.0,-107368.84125000001,0.0,0.0,2.61,43.714285714285715,0.0,-107368.84125000001
05/01/2021,ISPM21,0.0,0.0,0.0,0.0,3708.0,5.2659,5.1805,11.0,76026.43125000001,0.0,0.0,2.61,43.714285714285715,0.0,76026.43125000001
06/01/2021,ISPM21,0.0,0.0,0.0,0.0,3730.5,5.2641,5.1805,11.0,65143.2375,0.0,0.0,2.61,43.714285714285715,0.0,65143.2375
07/01/2021,ISPM21,0.0,0.0,0.0,0.0,3788.0,5.3863,5.1805,11.0,170341.73750000002,0.0,0.0,2.61,43.714285714285715,0.0,170341.73750000002
08/01/2021,ISPM21,6.0,3807.3333333333294,0.0,0.0,3807.0,5.4317,5.1805,17.0,56761.265,-543.1699999935779,6.0,2.61,43.714285714285715,81.12663,56130.96837000642
11/01/2021,ISPM21,0.0,0.0,0.0,0.0,3781.5,5.4921,5.1805,17.0,-119041.2675,0.0,0.0,2.61,48.857142857142854,0.0,-119041.2675
12/01/2021,ISPM21,1.0,3789.0,0.0,0.0,3793.0,5.3565,5.1805,18.0,52359.7875,1071.3,1.0,2.61,48.857142857142854,13.521105,53416.566395
13/01/2021,ISPM21,2.0,3803.125,0.0,0.0,3800.75,5.3125,5.1805,20.0,37054.6875,-1261.71875,2.0,2.61,48.857142857142854,27.04221,35763.92654
14/01/2021,ISPM21,0.0,0.0,0.0,0.0,3782.75,5.1989,5.1805,20.0,-93580.2,0.0,0.0,2.61,48.857142857142854,0.0,-93580.2
15/01/2021,ISPM21,5.0,3757.0,0.0,0.0,3748.5,5.2961,5.1805,25.0,-181391.425,-11254.2125,5.0,2.61,48.857142857142854,67.605525,-192718.24302499997
18/01/2021,ISPM21,0.0,0.0,0.0,0.0,3752.25,5.281000000000001,5.1805,25.0,24754.687500000004,0.0,0.0,2.61,30.714285714285715,0.0,24754.687500000004
19/01/2021,ISPM21,0.0,0.0,5.0,3791.0,3793.0,5.3533,5.1805,20.0,272683.71875,-2676.65,5.0,2.61,30.714285714285715,67.605525,269934.46322499996
20/01/2021,ISPM21,0.0,0.0,12.0,3848.0,3848.0,5.3166,5.1805,8.0,292413.0,0.0,12.0,2.61,30.714285714285715,162.25326,292238.74674
21/01/2021,ISPM21,1.0,3845.25,1.0,3847.0,3849.0,5.3725,5.1805,8.0,2149.0,470.09374999999994,2.0,2.61,30.714285714285715,13.521105,2603.572645
22/01/2021,ISPM21,5.0,3825.2,13.0,3840.0,3828.5,5.465,5.1805,0.0,-44813.0,45359.50000000025,18.0,2.61,30.714285714285715,175.77436500000002,352.7256350002474
26/01/2021,ISPM21,0.0,0.0,1.0,3843.0,3845.0,5.3514,5.1805,-1.0,0.0,-535.14,1.0,2.61,31.38095238095238,13.521105,-549.661105
27/01/2021,ISPM21,28.0,3781.508928571429,0.0,0.0,3747.0,5.377999999999999,5.1805,27.0,26352.199999999997,-259824.6250000024,28.0,2.61,31.38095238095238,378.59094,-233879.01594000237
28/01/2021,ISPM21,5.0,3793.15,10.0,3783.25,3783.25,5.4287,5.1805,22.0,265667.00625,-13436.032500000123,15.0,2.61,31.38095238095238,135.21105,252080.76269999985
29/01/2021,ISPM21,31.0,3707.5161290322603,7.0,3720.0,3720.0,5.4759,5.1805,46.0,-380985.7425,105958.66499998084,38.0,2.61,31.38095238095238,419.15425500000003,-275484.23175501917
01/02/2021,ISPM21,0.0,0.0,0.0,0.0,3773.0,5.4635,5.4759,46.0,666000.65,0.0,0.0,2.61,45.23809523809524,0.0,666000.65
02/02/2021,ISPM21,34.0,3807.4853,8.0,3823.0,3825.0,5.3525,5.4759,72.0,640159.0,155088.63397500158,42.0,2.61,45.23809523809524,485.93136599999997,794719.7026090015
03/02/2021,ISPM21,5.0,3829.15,0.0,0.0,3827.0,5.3732,5.4759,77.0,38687.04,-2888.095000000122,5.0,2.61,45.23809523809524,71.460495,35722.48450499988
04/02/2021,ISPM21,0.0,0.0,5.0,3856.0,3858.0,5.4423,5.4759,72.0,649538.505,-2721.15,5.0,2.61,45.23809523809524,71.460495,646740.894505
05/02/2021,ISPM21,25.0,3874.06,0.0,0.0,3874.0,5.3627,5.4759,97.0,308891.52,-402.2024999996342,25.0,2.61,45.23809523809524,357.302475,308107.01502500044
