Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Dolar Ref,Dolar Ref Last Month,Close Day,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
30/07/2020,ISPZ20,3275.0,0.0,0.0,8.0,3232.3125,5.1494,5.358,No,-8.0,0.0,-87926.005,3.2,3.07,,131.59248,-88060.79748000001
31/07/2020,ISPZ20,3277.0,0.0,0.0,5.0,3269.1,5.2123,5.358,No,-13.0,-4169.84,-10294.292500000118,2.0,3.07,,82.24529999999999,-14548.377800000118
03/08/2020,ISPZ20,3300.0,0.0,0.0,0.0,0.0,5.3175,5.2123,No,-13.0,-79496.625,0.0,0.0,3.07,,0.0,-79496.625
04/08/2020,ISPZ20,3308.25,0.0,0.0,0.0,0.0,5.3135,5.2123,No,-13.0,-28493.643750000003,0.0,0.0,3.07,,0.0,-28493.643750000003
05/08/2020,ISPZ20,3327.0,0.0,0.0,0.0,0.0,5.3059,5.2123,No,-13.0,-64665.65625,0.0,0.0,3.07,,0.0,-64665.65625
06/08/2020,ISPZ20,3352.0,0.0,0.0,0.0,0.0,5.3522,5.2123,No,-13.0,-86973.25,0.0,0.0,3.07,,0.0,-86973.25
07/08/2020,ISPZ20,3354.0,0.0,0.0,0.0,0.0,5.4227,5.2123,No,-13.0,-7049.51,0.0,0.0,3.07,,0.0,-7049.51
10/08/2020,ISPZ20,3361.5,0.0,0.0,0.0,0.0,5.4586,5.2123,No,-13.0,-26610.675,0.0,0.0,3.07,,0.0,-26610.675
11/08/2020,ISPZ20,3342.0,0.0,0.0,6.0,3347.541667,5.3944,5.2123,No,-19.0,68374.02,8968.190539439938,2.4000000000000004,3.07,,96.01056599999998,77243.79997343995
12/08/2020,ISPZ20,3376.0,5.0,3357.6,5.0,3374.0,5.4716,5.2123,No,-19.0,-176732.68,22433.56000000012,4.0,3.07,,80.008805,-154383.12880499987
13/08/2020,ISPZ20,3377.0,5.0,3380.1,10.0,3377.0,5.3758,5.2123,No,-24.0,-5107.01,-4166.244999999878,6.0,3.07,,160.01761,-9439.272609999878
14/08/2020,ISPZ20,3368.0,10.0,3370.65,0.0,0.0,5.4358,5.2123,No,-14.0,58706.64000000001,-7202.435000000248,4.0,3.07,,160.01761,51340.18738999976
17/08/2020,ISPZ20,3383.75,0.0,0.0,2.0,3383.75,5.5106,5.2123,No,-16.0,-60754.365000000005,0.0,0.8,3.07,,32.003522,-60787.16852200001
