Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Close Day,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
18/12/2020,WSPH21,38.0,3719.55,0.0,0.0,3706.25,5.0917,5.3539,No,38.0,0.0,-6433.362950000089,1.14,3.07,7.476190476190477,62.45859740000001,-6496.961547400089
21/12/2020,WSPH21,87.0,3688.94252873563,162.0,3691.10648148148,3685.75,5.1246,5.3539,No,-37.0,-9980.1585,7558.784999999418,7.47,3.07,8.011904761904763,266.27086260000004,-2695.1143626005814
22/12/2020,WSPH21,0.0,0.0,43.0,3680.3313953488396,3680.0,5.1605,5.3539,No,-80.0,2744.7409374999997,183.84281250131417,1.29,3.07,8.011904761904763,70.6768339,2856.616916101314
23/12/2020,WSPH21,3.0,3691.0,3.0,3692.0,3690.0,5.1969,5.3539,No,-80.0,-10393.800000000001,38.97675,0.18,3.07,8.011904761904763,4.9309419,-10359.934191900002
28/12/2020,WSPH21,43.0,3724.267441860471,3.0,3724.75,3734.5,5.2745,5.3539,No,-40.0,-46943.049999999996,5416.252187496618,1.38,3.07,8.190476190476192,70.6768339,-41598.85464640337
29/12/2020,WSPH21,146.0,3746.5154109589002,26.0,3748.375,3728.0,5.19,5.3539,No,80.0,3373.5000000000005,-28201.162499992686,5.16,3.07,8.190476190476192,239.97250580000002,-25072.795005792686
30/12/2020,WSPH21,141.0,3732.19503546099,53.0,3736.410377358489,3730.0,5.1805,5.3539,No,168.0,2072.2000000000003,391.7753125043995,5.819999999999999,3.07,8.190476190476192,231.75426930000006,2226.4010432043997
04/01/2021,WSPH21,269.0,3768.02788104089,97.0,3757.951030927829,3692.0,5.2407,5.1967,No,340.0,-83641.572,-184135.2699374999,10.98,3.07,8.414285714285715,429.1590761,-268216.98101359984
05/01/2021,WSPH21,926.0,3691.41333693304,186.0,3711.8978494623707,3718.25,5.2659,5.1967,No,1080.0,117495.39375,311599.75893758057,33.36,3.07,8.414285714285715,1477.3282694,427584.4644181806
06/01/2021,WSPH21,142.0,3714.91197183099,162.0,3721.6851851851893,3740.5,5.2641,5.1967,No,1060.0,316240.8075,7705.32637500146,9.12,3.07,8.414285714285715,258.4526778,323678.56119720143
