Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Close Day,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
06/07/2020,WSPU20,3172.0,422.0,3172.83,142.0,3177.73,No,5.35,5.358,280.0,0.0,6197.975000000445,16.919999999999998,3.07,,694.150332,5486.904668000445
07/07/2020,WSPU20,3136.5,273.0,3160.88,353.0,3156.1,No,5.3815,5.358,200.0,-133730.275,3539.143474999173,18.779999999999998,3.07,,580.651818,-130790.56334300082
08/07/2020,WSPU20,3163.5,378.0,3152.3,358.0,3149.04,No,5.385,5.358,220.0,72697.5,-12696.2145000011,22.08,3.07,,621.7744680000001,59357.431031998894
09/07/2020,WSPU20,3142.0,283.0,3151.16,368.0,3140.54,No,5.3629,5.358,135.0,-63416.292499999996,-41958.79330999962,19.529999999999998,3.07,,605.325408,-105999.94121799961
10/07/2020,WSPU20,3178.5,307.0,3160.26,342.0,3161.6,No,5.3201,5.358,100.0,65536.981875,-2395.641030001305,19.47,3.07,,562.557852,62559.31299299869
13/07/2020,WSPU20,3148.25,257.0,3176.97,358.0,3186.63,No,5.3604,5.358,-1.0,-40538.025,85216.95900000122,18.45,3.07,,588.876348,44071.60765200123
14/07/2020,WSPU20,3183.5,208.0,3174.61,176.0,3165.48,No,5.3368,5.358,31.0,-470.3055,-17643.46080000031,11.52,3.07,,342.140448,-18467.426748000307
15/07/2020,WSPU20,3220.0,357.0,3225.96,330.0,3219.63,No,5.3679,5.358,58.0,15184.447124999999,-30192.02194499969,20.61,3.07,,587.231442,-15615.416261999693
16/07/2020,WSPU20,3196.0,646.0,3204.04,283.0,3208.4,No,5.3719,5.358,421.0,-18694.212,-22624.29403999934,27.869999999999997,3.07,,1062.609276,-42408.98531599934
17/07/2020,WSPU20,3214.0,380.0,3221.89,422.0,3216.23,No,5.3838,5.358,379.0,101996.091,-27688.07582999925,24.06,3.07,,694.150332,73589.80483800075
